drcsim;https://bitbucket.org/osrf/drcsim;Repository for the DRC project.
gazebo;https://bitbucket.org/osrf/gazebo;Open source robotics simulator.
cloudsim-legacy;https://bitbucket.org/osrf/cloudsim-legacy;
gazebo_user_guide;https://bitbucket.org/osrf/gazebo_user_guide;The Gazebo user guide
gazebo_models;https://bitbucket.org/osrf/gazebo_models;Model database
rosbook;https://bitbucket.org/osrf/rosbook;Code to accompany forthcoming O'Reilly book on ROS.
gazebo-release;https://bitbucket.org/osrf/gazebo-release;Contains debian/ubuntu meta-data for creating source and binary packages.
drcsim-release;https://bitbucket.org/osrf/drcsim-release;
release-tools;https://bitbucket.org/osrf/release-tools;
RTF;https://bitbucket.org/osrf/rtf;Robust, is a parameter-based robot testing framework
sdformat;https://bitbucket.org/osrf/sdformat;Simulation Description Format (SDF) parser and description files.
rosandroid;https://bitbucket.org/osrf/rosandroid;A place to put libraries and tools developed around the ROS/Android applications framework.
cloudsim_user_guide;https://bitbucket.org/osrf/cloudsim_user_guide;User guide for the CloudSim software
sandia-hand;https://bitbucket.org/osrf/sandia-hand;
sandia-hand-release;https://bitbucket.org/osrf/sandia-hand-release;
cloudsim-client-tools;https://bitbucket.org/osrf/cloudsim-client-tools;
cloudsim-client-tools-release;https://bitbucket.org/osrf/cloudsim-client-tools-release;
lapackbot-release;https://bitbucket.org/osrf/lapackbot-release;
vrc_arenas;https://bitbucket.org/osrf/vrc_arenas;Arenas for the virtual robotics challenge
gazebo-test-coverage;https://bitbucket.org/osrf/gazebo-test-coverage;Support to start the test coverage in gazebo
osrf-common;https://bitbucket.org/osrf/osrf-common;
osrf-common-release;https://bitbucket.org/osrf/osrf-common-release;
drcsim-release-prerelease-dbg-packages;https://bitbucket.org/osrf/drcsim-release-prerelease-dbg-packages;
gazebo-test-relocation;https://bitbucket.org/osrf/gazebo-test-relocation;
rosjava_zeroconf;https://bitbucket.org/osrf/rosjava_zeroconf;This includes some classes for zeroconf function.
